Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.4440764277342048,5.233333333333333,50.0,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,5,13,0.8740928033383778,12.666666666666666,45.733333333333334,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,10,13,0.9817569312898449,10.333333333333334,27.866666666666667,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,13,1,0.8763904112547624,23.933333333333334,50.0,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,13,5,0.9737126820106015,19.966666666666665,34.5,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,13,10,0.99152641716521,12.6,20.0,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,13,15,0.9998464709417775,11.7,18.033333333333335,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,13,20,0.9999239507690715,11.633333333333333,17.066666666666666,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,25,13,1.0,10.366666666666667,10.366666666666667,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,50,13,1.0,7.833333333333333,7.833333333333333,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,100,13,1.0,6.333333333333333,6.333333333333333,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.5,0.8,1.6,13,13,0.9818117569278263,13.466666666666667,18.466666666666665,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,1.0,0.8,1.6,13,13,0.9830908314618282,23.133333333333333,36.0,"Langermann, Const3, Rejection"
Langermann,Constraint 4,Penalty Method,0.05,0.8,1.6,13,13,0.9236929955966542,17.166666666666668,28.433333333333334,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.1,0.8,1.6,13,13,0.9263354981847477,15.533333333333333,29.133333333333333,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.25,0.8,1.6,13,13,0.9710691148576572,13.333333333333334,16.266666666666666,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.29932272087974743,5.533333333333333,48.46666666666667,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,5,13,0.8168433173182428,18.3,36.13333333333333,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,10,13,0.9275611294507208,15.433333333333334,19.8,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,13,1,0.7880664930559212,39.0,49.233333333333334,"Langermann, Const4, Penalty"
