Fitness Function,Constraint,Constraint Used,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,8,8
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,20,20
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,33,33
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,6,6
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,16,50
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,7,7
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,4,50
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,6,50
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.5954330200779493,22,50
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,5,5
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,23,23
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,19,19
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,6,6
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,41,41
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,19,19
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,20,20
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,22,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,5,5
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9619170347814971,19,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,43,43
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,14,14
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,31,31
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,7,7
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,4,4
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,12,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,9,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.8732565827981628,12,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,9,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,13,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,19,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,15,15
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.8723690199716857,11,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,11,11
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9327810593143057,15,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,16,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,18,18
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.8004507675081417,16,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.8598745252464625,8,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,15,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,10,10
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.7698305967343548,11,50
Schaffer,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,13,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.7893461468956237,48,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,28,28
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.7779502102315905,37,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.8038138036872304,29,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,9,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,20,20
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.8310724429367105,35,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,28,28
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,24,24
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,37,50
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,22,22
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,7,50
